iter	RMSE
0	0.9351001863
1	0.9278409596
2	0.9220750467
3	0.9171723605
4	0.912859878
5	0.9092369675
6	0.9061306586
7	0.9034193905
8	0.9009789095
9	0.8989909026
10	0.8970071943
11	0.8953292171
12	0.8940774488
13	0.8927382733
14	0.8915610912
15	0.8907142525
16	0.8898230941
17	0.8890978651
18	0.888412116
19	0.8877539427
20	0.8871331087
21	0.8867106636
22	0.8860979546
23	0.8856310888
24	0.8852655234
25	0.884938788
26	0.8844642044
27	0.8841024478
28	0.8837599404
29	0.883350835
30	0.8831098669
31	0.8827986838
32	0.8826319023
33	0.8822369416
34	0.8819055963
35	0.8816884328
36	0.8815205281
37	0.8812454745
38	0.8809942463
39	0.8807405345
40	0.8804898914
41	0.8802870904
42	0.8800515958
43	0.879841485
44	0.8796445783
45	0.8793754646
46	0.8791909707
47	0.8790571098
48	0.8788768349
49	0.8786835659
50	0.8784994153
51	0.8783326514
52	0.8782458379
53	0.8780957216
54	0.8779401794
55	0.8777914229
56	0.8776526945
57	0.8775067943
58	0.8773891335
59	0.8772425712
60	0.8768915087
61	0.8768351558
62	0.8767411196
63	0.8766267153
64	0.8765095962
65	0.876372559
66	0.8762582296
67	0.8761641888
68	0.876027947
69	0.8758985063
70	0.8757896717
71	0.8756108228
72	0.8755563924
73	0.8754465033
74	0.8752817756
75	0.875132066
76	0.875051369
77	0.8749416001
78	0.8748370833
79	0.8746971216
80	0.874578892
81	0.8744938025
82	0.8744046799
83	0.8743017377
84	0.8741906123
85	0.8740505186
86	0.8739707683
87	0.8738759238
88	0.8738189307
89	0.8737717805
90	0.8737251343
91	0.8735961944
92	0.8735386055
93	0.8734288975
94	0.8732941608
95	0.8731910291
96	0.8730905746
97	0.8729633607
98	0.8728978788
99	0.8728476152
100	0.8727557567
101	0.8726530691
102	0.8725778464
103	0.8724803325
104	0.8723984699
105	0.8723144381
106	0.8722472511
107	0.8721586859
108	0.8720662799
109	0.8719379367
110	0.8718330701
111	0.8717536861
112	0.8716697504
113	0.8715857531
114	0.8714701089
115	0.8714068964
116	0.8713322216
117	0.871200667
118	0.8711482744
119	0.8710709254
120	0.8710293861
121	0.8709673057
122	0.8709027901
123	0.8708441245
124	0.8707286484
125	0.8706749975
126	0.8706019977
127	0.8705216704
128	0.8703774073
129	0.8703389296
130	0.8702678524
131	0.8701687857
132	0.8701145966
133	0.8700085303
134	0.8698824342
135	0.8698000713
136	0.8696991967
137	0.8696091853
138	0.8695373217
139	0.8694747716
140	0.8693871179
141	0.8693360219
142	0.8692400518
143	0.8692046491
144	0.8690878395
145	0.8690029013
146	0.8689487976
147	0.868859611
148	0.8688223418
149	0.8687708531
150	0.8686735827
151	0.8685942765
152	0.8685085025
153	0.8684226096
