iter	Passed	Remaining
0	79	79135
1	98	48990
2	113	37721
3	127	31828
4	140	28002
5	158	26185
6	177	25139
7	193	23978
8	214	23583
9	238	23617
10	257	23196
11	274	22610
12	289	22016
13	301	21229
14	319	20976
15	343	21151
16	367	21244
17	385	21022
18	402	20762
19	415	20382
20	436	20365
21	454	20215
22	470	20001
23	492	20038
24	512	19980
25	535	20046
26	555	20002
27	589	20457
28	606	20297
29	622	20141
30	639	19984
31	671	20302
32	691	20268
33	706	20083
34	727	20058
35	743	19897
36	761	19815
37	776	19661
38	795	19594
39	814	19551
40	832	19465
41	851	19417
42	870	19370
43	885	19241
44	901	19134
45	922	19130
46	950	19270
47	976	19363
48	995	19319
49	1013	19256
50	1028	19134
51	1045	19060
52	1059	18928
53	1071	18769
54	1086	18664
55	1100	18545
56	1119	18520
57	1135	18449
58	1152	18377
59	1166	18280
60	1181	18185
61	1195	18081
62	1205	17934
63	1221	17868
64	1237	17798
65	1255	17766
66	1280	17826
67	1302	17845
68	1317	17777
69	1334	17724
70	1351	17686
71	1367	17620
72	1381	17542
73	1394	17444
74	1407	17360
75	1428	17364
76	1446	17337
77	1460	17262
78	1476	17212
79	1492	17161
80	1506	17093
81	1522	17041
82	1536	16974
83	1555	16957
84	1568	16886
85	1581	16810
86	1593	16722
87	1603	16613
88	1613	16518
89	1623	16418
90	1633	16317
91	1646	16245
92	1656	16154
93	1667	16069
94	1678	15988
95	1688	15901
96	1698	15812
97	1708	15726
98	1719	15646
99	1730	15576
100	1741	15504
101	1753	15439
102	1766	15386
103	1779	15327
104	1790	15259
105	1800	15187
106	1811	15117
107	1825	15076
108	1835	15007
109	1848	14955
110	1859	14896
111	1871	14840
112	1881	14769
113	1893	14712
114	1902	14639
115	1913	14582
116	1925	14529
117	1939	14496
118	1953	14461
119	1967	14431
120	1983	14408
121	1999	14391
122	2011	14341
123	2021	14282
124	2033	14237
125	2046	14194
126	2058	14147
127	2068	14093
128	2079	14041
129	2090	13992
130	2101	13937
131	2117	13921
132	2126	13862
133	2138	13820
134	2149	13771
135	2160	13725
136	2171	13676
137	2179	13616
138	2189	13565
139	2200	13514
140	2209	13461
141	2220	13414
142	2229	13363
143	2240	13319
144	2251	13275
145	2262	13234
146	2276	13212
147	2287	13171
148	2300	13137
149	2314	13113
150	2326	13079
151	2336	13035
152	2349	13008
153	2360	12968
154	2372	12931
155	2382	12888
156	2393	12854
157	2404	12814
158	2415	12774
159	2427	12745
160	2439	12713
161	2450	12673
162	2462	12642
163	2475	12618
164	2487	12586
165	2498	12552
166	2509	12518
167	2520	12481
168	2530	12442
169	2541	12407
170	2553	12378
171	2565	12350
172	2580	12334
173	2592	12307
174	2603	12272
175	2617	12252
176	2628	12223
177	2639	12191
178	2651	12161
179	2662	12127
180	2674	12099
181	2686	12075
182	2696	12038
183	2705	11998
184	2716	11966
185	2726	11932
186	2738	11907
187	2751	11882
188	2762	11854
189	2774	11828
190	2789	11813
191	2800	11785
192	2813	11763
193	2826	11742
194	2838	11719
195	2849	11690
196	2861	11664
197	2871	11632
198	2885	11612
199	2897	11590
200	2909	11565
201	2924	11554
202	2936	11529
203	2948	11506
204	2959	11477
205	2970	11448
206	2981	11419
207	2990	11386
208	3002	11361
209	3013	11335
210	3023	11305
211	3034	11278
212	3044	11247
213	3054	11218
214	3064	11189
215	3073	11156
216	3083	11125
217	3094	11101
218	3105	11073
219	3115	11045
220	3129	11030
221	3138	10999
222	3150	10977
223	3160	10950
224	3171	10923
225	3181	10897
226	3193	10873
227	3203	10847
228	3213	10819
229	3222	10789
230	3233	10763
231	3244	10741
232	3254	10714
233	3266	10694
234	3276	10667
235	3286	10638
236	3295	10610
237	3304	10581
238	3315	10557
239	3324	10528
240	3335	10503
241	3345	10478
242	3356	10454
243	3368	10435
244	3378	10412
245	3392	10396
246	3405	10382
247	3417	10362
248	3432	10353
249	3446	10338
250	3459	10322
251	3471	10305
252	3484	10287
253	3497	10273
254	3509	10253
255	3520	10231
256	3531	10208
257	3541	10184
258	3550	10158
259	3561	10137
260	3573	10116
261	3583	10093
262	3595	10074
263	3604	10050
264	3615	10027
265	3625	10004
266	3636	9982
267	3649	9968
268	3664	9957
269	3678	9945
270	3688	9923
271	3702	9910
272	3716	9897
273	3730	9884
274	3749	9884
275	3768	9884
276	3782	9872
277	3797	9862
278	3811	9850
279	3827	9841
280	3841	9830
281	3857	9821
282	3871	9808
283	3885	9794
284	3898	9780
285	3915	9773
286	3928	9760
287	3940	9741
288	3951	9722
289	3963	9702
290	3974	9682
291	3985	9663
292	3996	9644
293	4006	9621
294	4016	9598
295	4026	9576
296	4036	9553
297	4047	9534
298	4058	9514
299	4067	9491
300	4079	9472
301	4089	9450
302	4098	9428
303	4108	9407
304	4121	9392
305	4132	9372
306	4143	9352
307	4155	9335
308	4164	9312
309	4174	9291
310	4185	9273
311	4196	9253
312	4206	9233
313	4216	9211
314	4226	9191
315	4236	9169
316	4246	9149
317	4257	9131
318	4266	9108
319	4277	9090
320	4287	9068
321	4297	9048
322	4308	9031
323	4318	9010
324	4327	8988
325	4337	8968
326	4348	8950
327	4359	8931
328	4370	8914
329	4380	8893
330	4390	8874
331	4400	8854
332	4410	8834
333	4421	8816
334	4431	8796
335	4441	8778
336	4452	8760
337	4463	8742
338	4473	8722
339	4485	8706
340	4495	8687
341	4505	8668
342	4516	8651
343	4527	8634
344	4539	8618
345	4549	8599
346	4561	8583
347	4572	8566
348	4581	8546
349	4593	8530
350	4603	8512
351	4613	8493
352	4625	8478
353	4636	8461
354	4647	8443
355	4657	8425
356	4666	8404
357	4675	8384
358	4686	8368
359	4697	8350
360	4707	8332
361	4718	8315
362	4727	8296
363	4737	8278
364	4749	8262
365	4760	8246
366	4771	8229
367	4783	8214
368	4793	8197
369	4805	8181
370	4815	8164
371	4825	8146
372	4835	8128
373	4845	8110
374	4855	8092
375	4865	8074
376	4876	8058
377	4886	8041
378	4898	8025
379	4908	8008
380	4918	7990
381	4927	7971
382	4937	7953
383	4948	7938
384	4958	7920
385	4969	7904
386	4978	7886
387	4989	7869
388	5000	7854
389	5010	7836
390	5020	7819
391	5030	7803
392	5041	7786
393	5052	7770
394	5062	7754
395	5074	7740
396	5083	7721
397	5094	7706
398	5104	7688
399	5115	7672
400	5124	7654
401	5135	7639
402	5144	7621
403	5156	7606
404	5165	7589
405	5175	7572
406	5185	7555
407	5196	7539
408	5206	7523
409	5216	7507
410	5226	7489
411	5236	7473
412	5246	7456
413	5256	7440
414	5268	7427
415	5279	7411
416	5290	7395
417	5300	7379
418	5311	7365
419	5322	7350
420	5333	7335
421	5345	7321
422	5356	7306
423	5367	7292
424	5379	7278
425	5390	7262
426	5398	7244
427	5407	7227
428	5417	7211
429	5429	7197
430	5439	7180
431	5449	7164
432	5458	7147
433	5468	7131
434	5479	7116
435	5490	7101
436	5502	7088
437	5513	7074
438	5523	7058
439	5533	7043
440	5544	7028
441	5555	7013
442	5564	6996
443	5574	6981
444	5584	6964
445	5595	6950
446	5605	6934
447	5616	6920
448	5626	6904
449	5638	6890
450	5647	6875
451	5659	6861
452	5669	6845
453	5680	6831
454	5697	6824
455	5708	6810
456	5719	6796
457	5729	6780
458	5738	6763
459	5748	6748
460	5759	6733
461	5769	6718
462	5780	6704
463	5791	6690
464	5801	6674
465	5812	6661
466	5822	6644
467	5831	6629
468	5841	6614
469	5852	6599
470	5864	6586
471	5876	6573
472	5887	6559
473	5897	6544
474	5911	6533
475	5923	6521
476	5934	6506
477	5943	6490
478	5953	6475
479	5963	6459
480	5974	6446
481	5984	6431
482	5994	6416
483	6004	6401
484	6014	6386
485	6024	6372
486	6034	6356
487	6043	6340
488	6054	6326
489	6065	6312
490	6074	6297
491	6084	6282
492	6096	6269
493	6106	6254
494	6117	6240
495	6127	6226
496	6138	6212
497	6147	6197
498	6159	6184
499	6168	6168
500	6177	6152
501	6187	6138
502	6197	6123
503	6210	6111
504	6220	6097
505	6230	6082
506	6240	6067
507	6253	6056
508	6262	6041
509	6272	6026
510	6282	6012
511	6293	5998
512	6305	5985
513	6315	5971
514	6324	5956
515	6335	5942
516	6344	5927
517	6354	5912
518	6363	5897
519	6373	5883
520	6383	5868
521	6393	5854
522	6404	5840
523	6414	5827
524	6425	5813
525	6435	5799
526	6445	5785
527	6456	5771
528	6466	5757
529	6476	5743
530	6486	5729
531	6496	5714
532	6506	5700
533	6516	5686
534	6526	5672
535	6536	5658
536	6546	5644
537	6557	5630
538	6567	5616
539	6577	5602
540	6588	5589
541	6597	5574
542	6609	5562
543	6620	5549
544	6629	5534
545	6639	5520
546	6649	5506
547	6660	5493
548	6671	5480
549	6680	5466
550	6691	5452
551	6702	5439
552	6712	5425
553	6724	5413
554	6734	5400
555	6745	5386
556	6755	5372
557	6765	5359
558	6774	5344
559	6786	5332
560	6795	5317
561	6804	5303
562	6815	5289
563	6825	5276
564	6836	5263
565	6846	5249
566	6856	5235
567	6865	5221
